348,49,348,27
361,49,366,28
379,50,379,28
395,50,395,28
411,50,411,29
424,50,430,29
443,51,443,29
456,51,461,30
472,54,476,33
487,58,492,37
497,62,510,45
508,71,524,56
520,82,536,67
532,94,547,78
542,106,557,90
549,116,568,106
554,128,575,123
559,143,580,138
564,160,584,152
571,176,589,164
580,189,598,178
588,203,606,191
595,215,615,207
599,231,619,222
622,242,600,242
623,258,601,258
620,277,600,269
615,292,595,284
603,308,587,293
589,319,576,302
568,326,568,304
552,325,552,303
534,322,539,301
519,318,523,297
501,313,510,293
486,308,494,288
473,303,477,282
457,297,465,277
443,291,451,271
429,284,437,264
414,275,424,256
401,268,409,248
386,263,394,243
374,261,374,239
363,264,355,244
354,271,339,255
341,282,328,265
330,291,314,276
317,301,301,286
301,312,291,293
287,321,277,302
273,330,263,311
259,337,249,318
245,343,235,324
231,349,221,330
215,354,206,334
197,359,193,338
184,363,176,343
169,368,161,348
153,372,145,352
135,375,132,354
121,378,116,357
103,382,103,360
87,382,87,360
71,382,71,360
55,380,55,358
32,376,47,358
23,360,42,348
17,342,38,336
14,326,35,320
11,310,32,305
8,296,28,287
26,276,4,276
3,263,24,258
2,246,23,244
23,229,1,229
23,213,1,213
23,198,2,196
25,181,3,181
27,168,6,163
30,154,10,146
34,139,14,131
39,124,20,114
46,110,27,99
54,99,38,84
64,90,52,72
78,78,62,63
89,67,73,52
100,57,85,41
110,50,102,30
125,42,115,23
138,36,131,16
154,30,145,10
167,26,162,5
184,23,178,2
194,23,200,2
211,25,214,4
226,27,231,6
244,30,244,8
255,32,263,12
272,37,276,16
286,41,292,20
303,44,306,23
320,47,320,25
334,48,338,27
