239,365,239,343
253,366,256,345
267,369,272,348
283,373,287,352
298,378,302,357
313,381,319,360
332,383,332,361
345,384,350,363
361,386,366,365
376,387,381,366
395,387,392,366
411,384,407,363
427,381,422,360
443,377,438,356
460,372,451,352
473,368,468,347
488,363,483,342
505,356,496,336
521,348,509,330
534,339,522,321
546,330,535,311
560,319,545,303
573,309,557,294
586,299,570,284
596,292,586,273
612,282,597,266
623,276,613,257
636,269,628,249
651,261,641,242
664,252,654,233
678,240,663,224
689,229,674,213
699,219,687,201
712,204,694,192
722,188,701,182
728,171,706,171
705,160,725,151
699,156,707,136
684,149,692,129
668,141,678,122
656,136,661,115
639,131,647,111
623,127,631,107
610,125,613,104
596,124,596,102
580,124,580,102
564,125,564,103
551,127,546,106
537,132,530,112
524,139,515,119
513,147,500,130
502,156,486,141
486,167,476,148
475,175,461,159
461,186,449,168
448,196,436,178
434,206,424,187
419,213,410,193
399,215,399,193
379,206,393,189
368,188,388,180
364,170,385,167
362,155,383,151
360,140,381,134
358,125,378,117
354,108,375,104
350,96,369,86
344,85,359,70
337,80,341,59
324,77,324,55
307,75,310,54
293,75,293,53
279,76,276,55
265,79,259,58
249,82,243,61
230,85,230,63
215,87,215,65
196,85,203,65
178,74,194,59
168,63,183,47
158,51,173,35
147,38,163,23
138,25,154,10
132,24,132,2
118,24,115,3
102,27,99,6
89,31,81,11
73,35,67,14
59,39,49,20
47,47,34,30
39,57,22,44
36,65,14,64
33,82,12,79
28,100,8,92
25,115,3,107
4,129,25,123
27,142,5,142
6,159,27,157
28,174,6,174
29,189,7,189
30,205,8,205
30,221,8,221
29,237,7,237
27,255,6,249
26,268,4,268
26,284,4,284
6,303,27,297
10,319,31,313
15,335,35,328
22,352,40,340
33,367,48,351
49,376,59,357
64,382,72,362
81,387,86,366
99,389,99,367
116,387,113,366
133,384,127,363
150,379,142,359
167,375,158,355
180,372,176,351
198,368,190,348
209,366,209,344
225,365,225,343
