316,365,320,344
331,369,337,348
349,372,349,350
365,373,365,351
381,374,381,352
396,375,396,353
410,376,413,355
427,377,427,355
443,377,443,356
459,377,459,355
475,377,475,355
492,376,490,355
507,376,507,354
523,376,523,354
541,373,537,352
556,369,553,348
574,363,565,343
589,357,579,338
604,349,592,331
618,341,606,323
630,334,622,314
645,327,636,307
658,319,649,299
674,307,658,292
685,297,670,281
697,285,681,270
709,269,688,261
687,259,703,244
677,240,698,235
672,228,691,218
666,213,685,203
661,202,677,187
653,188,670,175
644,177,659,161
632,166,647,150
623,160,628,139
611,157,611,135
598,156,592,135
582,157,577,136
567,160,561,139
552,163,544,143
534,166,531,145
517,168,517,146
500,167,503,146
481,162,492,143
468,150,483,134
458,135,476,123
450,123,466,108
440,111,456,96
429,99,445,84
419,90,432,72
407,82,417,63
395,77,401,56
380,72,386,51
365,69,369,48
351,68,351,46
335,68,335,46
317,67,322,46
304,67,304,45
286,65,291,44
269,61,277,41
255,56,261,35
237,44,253,29
227,35,239,17
214,28,224,9
202,25,205,4
188,24,188,2
172,23,172,1
156,23,156,1
140,23,140,1
127,23,121,2
110,24,106,3
97,28,88,8
87,33,71,18
71,45,62,25
61,51,45,36
48,60,32,45
37,69,19,58
33,81,12,76
28,98,8,90
26,112,5,107
24,127,3,123
2,144,24,137
12,158,32,149
16,172,37,166
20,187,41,182
25,204,45,195
34,220,51,207
42,233,60,221
51,247,69,235
60,260,78,248
75,274,87,256
90,283,101,264
105,290,115,271
123,295,127,274
138,298,143,277
156,301,156,279
174,301,168,280
189,300,185,279
208,295,198,276
220,290,215,269
232,286,232,265
238,289,253,274
245,301,263,289
253,314,272,304
263,328,281,316
275,342,290,326
289,353,301,335
306,362,312,341
