381,47,381,25
397,48,397,26
413,48,413,26
429,49,429,27
445,49,445,27
458,51,463,30
474,54,478,33
490,58,494,37
503,62,511,42
518,68,526,48
533,75,541,55
543,82,558,66
554,92,570,77
564,103,581,90
574,116,591,103
582,128,601,117
591,142,609,130
600,155,618,143
606,167,626,159
613,182,633,174
618,195,639,190
623,212,643,204
647,223,625,223
647,239,626,239
646,256,625,253
645,270,623,270
642,290,622,281
638,305,618,297
631,321,613,309
622,336,606,321
606,348,596,329
593,356,583,337
576,363,571,342
561,368,557,347
548,372,540,352
529,376,529,354
513,378,513,356
494,377,500,356
480,375,483,354
462,370,471,350
447,364,457,345
433,356,444,337
420,347,432,329
406,336,421,320
394,325,410,310
385,315,397,297
372,304,386,288
363,300,366,279
349,299,349,278
339,302,329,283
324,308,314,289
309,315,301,295
295,321,287,301
279,328,273,307
265,332,257,312
250,336,242,316
235,339,226,319
216,341,214,320
199,341,199,320
181,339,185,318
164,335,170,314
147,329,157,310
133,323,143,304
119,317,128,297
103,308,116,291
91,301,101,282
76,290,91,274
65,280,78,263
53,266,70,253
42,253,60,241
33,239,52,228
25,224,45,215
18,207,39,202
13,196,31,184
8,176,29,173
5,162,26,156
3,145,24,141
23,127,1,127
25,121,9,106
34,115,26,95
47,110,42,89
60,108,60,86
72,109,79,89
86,114,95,94
97,121,111,104
107,129,125,117
117,142,135,130
129,156,144,140
146,167,154,147
161,174,167,153
173,180,183,161
185,186,198,169
201,195,209,175
215,202,223,182
231,208,237,187
248,212,252,191
266,216,266,194
282,218,282,196
298,218,298,196
317,215,311,194
332,210,326,189
350,199,334,184
361,189,346,173
371,172,351,164
376,157,356,149
357,141,379,135
351,138,362,119
338,131,348,112
326,126,332,105
310,118,320,99
295,109,308,92
284,103,290,82
269,95,279,76
257,89,262,68
240,81,250,62
227,73,237,54
215,65,223,45
198,50,218,42
220,40,192,22
226,33,205,4
229,33,232,4
249,30,244,9
262,29,262,7
276,29,280,8
294,31,294,9
308,33,312,12
324,37,328,16
340,41,344,20
355,44,360,23
373,47,373,25
