362,442,362,420
378,444,378,422
391,446,397,425
410,447,410,425
427,446,424,425
441,445,441,423
457,444,457,422
474,442,471,421
490,440,487,419
507,438,501,417
523,435,517,414
538,433,533,412
556,429,547,409
563,427,569,399
587,418,571,402
595,397,574,393
598,379,576,379
599,363,577,363
576,350,597,344
571,339,589,327
563,328,578,312
552,317,567,301
542,307,554,289
528,295,544,280
519,287,529,268
506,278,516,259
492,268,505,251
479,259,492,242
466,248,481,232
455,238,468,221
443,229,456,212
430,218,445,202
418,207,433,191
407,197,420,180
393,185,412,174
413,171,393,162
421,158,402,148
429,151,417,133
443,139,427,124
455,129,439,114
466,120,452,103
454,100,477,98
449,95,464,79
438,83,453,68
429,75,438,55
414,64,426,46
402,54,413,35
388,41,404,26
378,32,389,14
366,27,371,6
353,25,353,3
337,23,337,1
321,23,321,1
306,23,304,2
289,24,289,2
273,24,273,2
257,23,257,1
244,23,238,2
229,24,221,4
212,28,207,7
199,31,189,12
185,37,175,18
172,44,160,26
159,52,146,35
145,61,133,43
132,70,120,52
119,79,107,61
106,88,94,70
95,96,79,81
82,106,66,91
68,119,57,100
60,127,43,114
52,138,32,128
43,152,24,142
33,166,16,153
26,177,6,169
23,190,2,187
2,205,23,202
6,221,27,217
11,238,31,230
16,254,36,246
22,271,40,259
31,285,48,272
47,298,56,278
59,306,69,287
72,316,81,296
86,324,94,304
102,331,107,310
114,336,124,317
131,343,136,322
144,349,153,329
156,356,168,338
167,365,182,349
182,376,193,357
193,385,206,368
205,395,219,378
219,404,231,386
235,412,244,392
249,418,259,399
265,424,274,404
282,429,287,408
297,433,302,412
315,436,315,414
329,438,332,417
345,440,348,419
362,442,362,420
