363,319,352,300
376,312,367,292
391,304,381,285
406,294,393,277
418,286,408,267
432,278,421,259
444,271,437,251
459,265,451,245
473,260,467,239
488,255,482,234
504,252,498,231
517,250,517,228
535,247,530,226
549,246,549,224
568,244,562,223
583,243,578,222
599,242,593,221
612,241,612,219
631,238,625,217
651,229,635,214
662,216,645,203
671,200,651,192
677,186,657,177
684,170,663,164
686,151,664,151
662,137,683,133
660,125,679,115
655,114,670,98
645,107,653,87
628,97,645,80
620,92,625,71
603,87,611,67
587,84,596,64
576,83,576,61
557,81,563,60
544,81,544,59
525,79,531,58
511,78,513,57
496,77,496,55
480,76,480,55
461,75,467,54
447,74,449,53
431,73,434,52
415,71,419,50
401,69,401,47
383,66,387,45
368,64,370,43
352,62,355,41
336,60,340,39
322,58,322,36
302,55,311,35
290,53,293,32
276,51,276,29
257,47,265,27
243,44,248,23
227,40,232,19
210,36,218,16
197,33,201,12
181,29,186,8
166,27,171,6
151,25,155,4
134,23,140,2
129,25,117,6
118,35,105,18
106,46,94,28
95,54,79,39
84,63,66,51
72,77,56,62
61,88,45,73
53,98,33,89
45,112,26,102
40,124,19,118
34,140,14,131
31,153,10,148
28,167,6,166
25,185,4,180
24,198,2,198
2,216,23,212
6,232,27,228
12,249,32,240
24,265,39,249
34,277,49,261
46,288,60,272
59,298,72,281
75,306,84,286
91,313,97,292
103,318,114,299
119,325,127,305
136,330,140,309
149,335,157,315
166,339,170,318
182,344,186,323
200,348,200,326
219,348,213,327
232,347,232,326
250,347,246,326
264,347,264,325
281,346,278,325
299,343,291,323
314,339,306,319
328,334,322,313
345,328,336,308
359,321,350,301
