188,479,188,457
205,478,203,457
220,478,220,456
238,475,233,454
253,473,249,452
268,470,265,449
285,464,278,444
302,456,290,438
316,442,298,430
325,427,305,418
330,410,309,406
331,392,309,392
329,376,307,376
304,365,324,357
298,354,315,341
289,342,305,328
278,329,296,317
268,319,284,304
258,310,271,293
247,303,255,283
231,296,241,277
216,292,225,272
202,287,209,266
188,280,196,260
173,274,181,254
159,267,167,247
143,260,153,241
129,253,139,234
111,233,137,232
138,231,126,213
151,225,142,205
163,221,159,200
177,218,177,196
196,217,190,196
209,217,209,195
227,216,223,195
245,213,236,193
261,209,251,190
277,204,267,185
295,197,280,181
307,186,291,171
318,176,303,160
331,162,312,151
341,148,321,140
348,134,328,126
350,115,328,115
326,102,347,97
321,88,341,81
314,75,333,65
306,65,321,49
296,55,308,37
284,47,293,27
271,43,276,22
254,38,262,18
240,35,244,14
224,33,229,12
211,31,211,9
193,29,197,8
179,29,179,7
163,28,163,6
148,26,148,4
132,24,132,2
117,23,117,1
105,24,97,4
89,26,84,5
71,29,71,7
53,28,57,7
47,29,34,11
35,37,20,21
33,43,11,43
27,61,7,53
29,72,7,72
27,89,6,87
25,103,3,103
23,120,2,117
23,134,1,134
23,150,1,150
23,166,1,166
23,182,1,182
24,197,2,197
24,213,2,213
25,228,3,228
4,245,25,242
26,259,4,259
27,275,5,275
28,291,6,291
28,307,6,307
28,323,6,323
28,339,6,339
28,355,6,355
27,370,5,370
6,389,27,383
13,407,31,395
23,422,39,407
32,433,50,421
44,446,60,431
59,456,71,438
75,464,83,444
92,469,97,448
108,473,112,452
124,477,127,456
141,479,141,457
157,479,157,457
173,479,173,457
