446,62,459,45
461,72,471,53
473,80,486,63
487,89,499,71
500,98,513,81
511,108,526,93
521,121,536,105
530,133,546,118
541,145,556,129
552,156,567,140
563,167,578,151
574,178,589,162
581,187,601,178
587,199,608,195
591,215,612,210
615,228,593,228
616,244,594,244
615,260,593,260
611,278,590,272
604,294,584,285
597,308,577,299
588,324,571,311
578,336,561,323
567,349,551,334
553,360,540,343
537,369,529,349
521,374,515,353
506,379,500,358
490,383,484,362
471,385,471,363
455,386,455,364
438,383,443,362
420,377,432,359
408,373,415,353
394,370,399,349
378,366,384,345
362,360,370,340
347,353,357,334
333,346,343,327
321,341,326,320
306,336,310,315
293,333,293,311
275,330,281,309
263,329,263,307
247,330,247,308
233,332,229,311
218,336,213,315
205,342,197,322
193,349,182,330
179,356,167,338
161,362,156,341
140,363,146,342
125,360,131,339
109,354,118,334
95,346,104,326
82,338,91,318
66,327,81,311
52,313,72,303
45,303,60,287
33,287,53,278
27,269,48,266
24,254,45,249
44,236,22,236
19,225,39,217
15,208,36,203
11,192,32,188
7,177,28,173
3,162,24,156
24,149,4,140
29,145,21,125
42,137,34,117
56,129,46,110
70,122,60,103
79,121,81,100
90,125,100,106
100,132,115,116
111,143,126,127
121,156,136,140
129,166,147,154
140,180,156,165
151,191,167,176
164,203,177,186
175,213,190,198
186,224,202,209
198,235,213,219
220,243,220,221
239,240,233,219
256,233,246,214
271,221,256,205
283,205,264,195
287,184,265,184
264,173,284,164
261,155,282,151
257,142,277,133
251,126,272,120
244,113,264,105
237,103,253,88
227,84,248,80
223,71,243,63
241,53,220,51
246,43,227,33
254,32,238,17
264,24,254,5
274,23,274,1
284,25,294,6
298,35,306,15
312,43,321,23
326,51,334,31
345,55,345,33
363,53,357,32
378,49,374,28
394,45,388,24
407,44,407,23
418,47,426,27
431,53,441,34
443,60,456,43
