325,42,320,21
338,42,338,20
349,44,357,24
366,49,370,28
379,53,387,33
393,58,403,39
408,66,416,46
419,73,432,56
434,84,443,64
444,92,459,76
455,102,471,87
466,114,481,98
476,126,491,110
483,135,503,126
493,149,511,137
501,161,520,151
505,173,526,169
509,188,530,185
533,202,511,202
514,220,535,214
517,235,538,230
541,248,519,248
541,264,520,264
541,280,519,280
540,297,519,294
539,311,517,311
536,331,516,322
531,347,512,337
523,362,505,350
516,375,497,365
506,389,488,377
494,403,479,387
478,413,468,394
463,418,453,399
446,424,440,403
428,428,428,406
412,429,412,407
394,428,399,407
378,426,383,405
364,422,366,401
347,421,352,400
333,419,336,398
316,417,321,396
302,413,305,392
286,408,291,387
269,402,278,382
256,397,261,376
239,391,248,371
224,385,233,365
211,379,217,358
195,372,205,352
183,363,192,343
168,349,184,335
157,340,170,323
149,339,149,317
135,340,131,319
120,342,114,321
101,344,101,322
85,345,85,323
69,345,69,323
49,341,59,322
34,330,49,314
22,315,41,304
14,300,34,292
9,284,30,278
6,267,27,264
5,251,26,249
26,234,4,234
25,218,3,218
25,202,3,202
24,186,2,186
24,170,2,170
23,154,1,154
23,138,1,138
24,122,2,122
25,108,4,104
27,93,6,87
29,77,8,72
32,63,12,54
35,47,15,38
38,39,27,20
54,29,39,14
62,25,58,4
75,23,75,1
91,23,91,1
103,24,111,4
121,28,124,7
133,32,142,12
148,37,156,17
164,42,170,21
181,47,185,26
197,49,200,28
214,50,214,28
232,49,228,28
246,48,246,26
264,46,260,25
279,45,277,24
296,44,292,23
313,43,307,22
