390,81,390,59
403,84,408,63
416,90,425,70
428,97,440,79
434,105,453,95
441,119,460,109
447,134,466,124
451,148,471,139
455,162,476,156
459,177,480,172
463,192,484,187
477,211,486,191
497,213,497,191
514,211,511,190
532,207,524,187
548,203,540,183
561,200,557,179
578,196,572,175
590,194,590,172
606,194,606,172
620,195,624,174
635,197,640,176
650,200,657,180
663,205,673,186
678,212,686,192
691,219,701,200
700,227,716,212
707,238,726,228
710,251,731,245
734,264,712,264
735,280,713,280
734,298,713,293
733,311,711,311
730,329,709,323
724,345,704,337
717,361,698,351
707,377,691,362
694,389,681,372
678,399,670,379
664,406,656,386
647,411,643,390
631,414,628,393
616,417,611,396
598,419,598,397
582,419,582,397
566,420,566,398
547,419,553,398
530,417,539,397
515,411,525,392
500,399,516,384
490,387,506,372
479,376,495,361
468,367,481,350
458,362,463,341
445,360,445,338
431,360,428,339
415,362,413,341
401,365,396,344
385,369,382,348
372,372,364,352
355,377,350,356
341,381,334,361
325,386,320,365
311,390,303,370
295,395,289,374
279,399,274,378
265,402,256,382
247,405,244,384
230,407,230,385
214,407,214,385
198,407,198,385
180,406,185,385
165,403,171,382
148,397,157,377
132,390,143,371
119,382,129,362
104,371,119,355
93,362,105,344
80,352,93,335
67,340,83,325
57,328,72,312
46,314,63,301
36,300,55,290
29,284,49,277
26,268,47,263
46,250,24,250
23,237,44,232
21,221,42,217
19,206,40,201
39,188,17,188
39,172,17,172
40,157,18,157
41,143,20,139
42,127,21,123
44,109,22,109
22,95,43,91
20,92,28,72
1,74,25,71
28,67,11,53
38,58,25,41
50,49,38,31
62,41,54,21
76,37,70,16
90,34,87,13
106,31,101,10
121,28,117,7
134,27,134,5
150,26,150,4
164,26,168,5
182,27,182,5
198,27,198,5
216,24,212,3
230,23,230,1
244,23,248,2
257,27,266,7
266,34,282,19
273,45,292,35
281,59,300,49
293,75,306,58
314,81,314,59
333,80,327,59
346,79,346,57
362,79,362,57
376,79,380,58
