313,75,313,53
329,75,329,53
344,76,344,54
360,77,360,55
376,76,376,54
394,75,390,54
408,75,408,53
423,74,423,52
439,73,439,52
456,73,454,52
471,73,471,51
487,73,487,51
503,72,503,50
516,72,521,51
531,73,536,52
549,75,549,53
563,78,567,57
578,82,583,61
589,86,601,68
601,93,616,77
609,101,629,92
618,115,638,105
624,128,644,120
629,142,650,136
633,157,654,151
636,172,657,167
660,185,638,185
658,204,637,198
654,221,634,213
649,237,629,228
643,252,623,243
635,269,618,256
621,283,610,264
608,291,598,272
590,296,585,275
572,296,572,274
556,296,556,274
540,295,540,273
525,294,525,272
509,292,509,270
489,288,497,268
475,285,480,264
459,281,464,260
442,277,450,257
427,273,434,253
413,269,417,248
398,265,402,244
382,261,386,240
366,257,371,236
353,255,353,233
338,254,336,233
321,256,321,234
308,257,302,236
294,260,286,240
278,265,270,245
263,270,254,250
247,275,239,255
232,280,223,260
215,285,209,264
199,288,194,267
181,290,181,268
165,290,165,268
148,289,151,268
134,288,134,266
117,285,120,264
101,281,105,260
84,274,94,255
69,265,82,248
56,256,69,239
43,244,58,229
33,229,52,219
25,214,45,205
18,198,39,192
12,185,32,177
6,171,26,163
1,153,22,151
23,139,2,133
25,122,4,118
29,109,9,100
36,92,14,87
38,78,17,72
44,69,28,54
54,57,38,42
66,46,50,31
77,37,64,20
88,29,78,10
98,25,98,3
116,23,112,2
127,23,132,2
140,27,149,7
157,33,162,12
171,39,177,18
184,44,193,24
200,51,206,30
216,56,221,35
230,61,238,41
246,66,252,45
262,70,266,49
280,73,280,51
296,74,296,52
312,75,312,53
