258,223,258,201
274,223,274,201
287,226,293,205
301,231,309,211
315,238,323,218
328,246,338,227
341,255,351,236
354,263,365,244
372,270,376,249
389,273,389,251
408,272,402,251
423,268,417,247
440,261,430,242
454,254,444,234
467,246,457,227
481,236,467,220
495,221,475,212
499,204,478,199
479,188,500,184
477,173,498,168
472,160,492,152
466,149,483,136
456,139,472,124
447,131,456,111
432,121,444,103
419,112,431,94
405,102,420,86
394,94,405,75
381,84,393,66
368,74,381,56
357,67,366,47
343,60,351,40
327,53,337,34
314,48,319,27
299,42,305,21
285,36,290,15
267,32,276,12
255,30,257,9
237,28,243,7
224,27,224,5
206,24,210,3
192,23,192,1
176,23,176,1
163,24,157,3
148,27,140,7
132,33,126,12
117,39,111,18
105,45,94,26
91,53,80,34
80,60,66,44
69,71,54,55
59,81,42,68
50,93,32,81
41,106,23,94
33,120,14,109
28,132,7,127
25,148,4,143
23,162,2,160
23,177,1,177
24,193,2,193
4,210,25,207
7,227,28,222
10,243,31,237
14,258,35,253
18,274,39,269
22,289,43,285
26,305,47,300
31,322,51,314
36,338,56,329
41,352,61,345
46,368,66,359
53,383,72,373
62,401,78,383
83,406,87,385
101,407,101,385
118,405,116,384
132,403,132,381
147,400,148,379
163,399,163,377
180,400,178,377
199,383,178,377
201,364,179,364
202,348,180,348
202,332,180,332
203,318,182,315
206,304,185,298
208,287,187,283
211,274,191,266
216,260,197,250
223,245,203,236
229,234,212,220
238,228,228,209
250,224,246,203
