273,160,277,139
286,163,296,144
298,170,311,153
308,182,323,166
313,191,333,183
319,206,339,197
324,219,345,214
329,235,350,229
334,250,355,245
340,265,361,259
351,283,366,267
361,295,377,280
373,307,386,290
388,317,397,297
405,323,410,302
421,326,424,305
441,326,435,305
455,325,452,304
469,323,469,301
489,317,478,298
504,306,489,290
516,294,500,279
527,275,506,270
531,260,510,255
535,246,515,238
539,227,517,227
541,212,519,212
519,198,540,195
516,183,537,178
512,169,532,162
506,155,526,147
500,141,520,132
494,126,514,118
488,112,508,104
483,98,502,88
475,78,498,77
502,68,483,58
512,57,494,45
498,39,523,37
495,36,507,18
483,30,491,10
470,26,474,5
456,24,456,2
441,23,441,1
425,23,425,1
409,24,409,2
395,25,392,4
381,27,375,6
363,30,361,9
346,32,346,10
333,33,327,12
315,34,313,13
298,35,298,13
282,35,282,13
265,34,268,13
249,33,254,12
236,32,236,10
220,31,220,9
204,31,204,9
188,32,188,10
172,34,172,12
157,35,155,14
142,37,139,16
128,40,123,19
115,44,106,24
100,50,92,30
86,57,77,37
74,64,62,46
61,72,49,54
49,79,33,64
37,90,22,74
30,101,11,90
24,115,4,107
23,126,1,126
2,143,23,140
5,161,25,154
10,178,28,166
16,191,36,182
29,206,44,190
45,215,55,196
61,221,69,201
76,225,85,205
96,228,96,206
112,228,112,206
130,223,125,202
145,217,139,196
162,207,149,190
173,200,164,180
188,190,175,173
203,180,187,165
212,174,204,154
226,166,218,146
240,160,232,140
251,159,251,137
267,160,267,138
