575,328,580,307
589,331,598,311
609,334,609,312
624,336,624,314
638,337,640,316
655,338,655,316
672,337,670,316
689,335,683,314
706,331,698,311
720,328,715,307
737,322,729,302
755,311,739,296
765,300,750,284
776,283,756,274
783,268,763,260
788,249,766,249
788,233,766,233
766,220,787,214
787,201,765,201
764,187,785,183
762,171,783,168
759,162,776,148
755,159,755,137
738,158,741,137
724,157,724,135
708,155,708,133
693,154,691,133
676,156,676,134
662,158,658,137
646,160,643,139
632,163,626,142
615,165,611,144
597,167,597,145
579,167,584,146
562,165,571,145
549,161,553,140
531,154,541,135
518,145,527,125
502,129,521,119
494,116,512,104
485,101,505,91
479,86,499,77
472,72,491,62
464,62,480,47
456,55,464,35
441,49,450,29
428,44,432,23
415,42,415,20
399,42,399,20
386,42,380,21
368,43,366,22
351,44,351,22
335,44,335,22
319,44,319,22
300,41,307,21
284,35,293,16
269,28,279,9
259,25,259,3
240,23,246,2
230,23,224,2
211,24,211,2
195,26,195,4
181,28,177,7
165,31,161,10
151,34,143,14
133,40,129,19
121,45,111,26
109,53,97,35
93,61,85,41
77,68,72,47
64,74,56,54
49,81,43,60
36,86,26,67
32,88,2,82
15,105,32,88
24,109,46,101
29,123,51,118
39,140,57,128
47,153,65,141
56,167,74,155
67,182,82,166
78,193,93,177
90,203,105,187
106,215,115,195
118,222,130,204
137,229,141,208
152,232,158,211
171,233,171,211
190,231,184,210
203,229,203,207
221,225,215,204
235,220,230,199
252,214,243,194
267,208,258,188
281,202,273,182
294,197,289,176
312,190,302,171
325,185,319,164
341,178,333,158
355,172,347,152
370,166,362,146
383,162,380,141
397,162,397,140
408,164,416,144
421,169,432,150
432,176,447,160
441,186,459,174
449,200,467,188
455,212,475,204
462,226,482,218
468,240,488,232
475,256,494,246
482,270,501,260
491,284,509,272
503,298,518,282
520,308,528,288
534,314,542,294
548,320,558,301
566,326,570,305
