320,199,320,177
332,201,338,180
343,205,356,188
355,213,370,198
364,223,382,211
375,237,391,222
381,248,400,238
386,260,407,256
392,275,413,269
401,293,418,280
407,305,426,295
414,318,434,310
422,333,441,323
429,347,448,337
439,362,455,348
450,376,464,359
476,380,465,359
491,366,473,351
495,344,473,344
495,328,473,328
495,312,473,312
495,296,473,296
472,283,493,278
469,268,490,263
465,255,485,246
460,238,481,233
455,225,475,216
449,209,469,202
443,195,463,187
436,180,457,174
431,170,447,155
423,157,439,142
414,142,432,130
406,129,423,116
397,116,414,103
388,105,403,89
377,93,392,77
366,82,380,66
353,71,369,56
341,61,356,45
330,53,341,34
317,46,325,26
303,39,311,19
289,34,295,13
273,29,281,9
261,26,261,4
245,24,245,2
229,23,229,1
213,25,213,3
199,26,195,5
183,28,180,7
168,30,164,9
150,33,150,11
137,36,131,15
123,39,115,19
107,44,101,23
92,50,86,29
79,56,70,36
67,63,55,45
60,72,42,60
51,86,33,74
44,98,24,89
37,112,17,104
32,127,12,119
28,140,7,136
25,154,3,154
23,170,1,170
24,186,2,186
6,205,26,197
12,221,31,211
23,237,38,221
33,247,50,234
43,259,61,246
55,272,70,256
66,283,81,267
80,295,89,275
94,302,102,282
111,307,116,286
130,309,130,287
148,307,143,286
165,302,156,282
180,293,168,275
195,282,179,267
207,270,190,257
217,259,201,244
228,247,212,232
239,236,223,221
250,226,235,210
261,216,248,199
272,210,264,190
286,204,278,184
300,200,296,179
314,198,314,177
