413,56,413,34
429,56,429,34
445,55,445,33
461,54,461,32
477,53,477,31
493,52,493,30
511,50,507,29
525,50,525,28
539,50,543,29
552,52,561,32
570,56,574,35
586,60,589,39
601,64,605,43
614,69,622,49
629,74,637,54
648,78,648,56
661,80,666,59
678,82,680,61
694,85,696,64
709,89,713,68
717,95,732,79
725,103,745,94
733,116,753,108
738,131,758,123
762,142,740,142
763,157,741,157
762,173,740,173
759,191,738,185
754,208,734,199
749,223,729,214
744,238,724,230
739,253,719,245
733,267,713,260
729,282,708,276
725,297,704,293
716,316,700,301
703,327,689,311
690,339,678,321
678,350,666,332
662,358,653,338
642,363,642,341
631,365,623,345
614,369,609,348
596,371,596,349
581,372,581,350
566,373,566,351
550,373,550,351
534,373,534,351
517,372,519,351
502,371,502,349
486,370,486,348
468,368,473,347
455,367,455,345
439,367,439,345
423,367,423,345
407,366,407,344
391,366,391,344
375,365,375,343
357,362,363,341
344,359,344,337
329,356,329,335
310,353,317,333
295,351,300,330
280,348,284,327
263,346,269,325
250,345,250,323
234,344,234,322
216,341,221,320
198,338,207,318
185,336,188,315
169,334,173,313
153,331,157,310
136,327,142,306
122,325,124,303
106,321,110,300
89,316,98,296
74,310,84,291
58,299,74,284
47,289,62,273
36,274,54,262
27,258,47,250
20,244,40,236
14,228,35,222
9,214,29,206
5,196,26,193
3,182,24,177
23,164,1,164
23,148,1,148
24,135,3,130
28,119,7,114
32,106,12,97
38,92,19,82
45,78,26,68
52,67,36,52
62,54,46,40
73,43,57,28
85,35,71,19
96,29,87,9
106,28,106,6
122,27,122,5
138,27,138,5
154,28,154,6
172,27,168,6
188,26,183,5
198,25,204,2
212,31,218,10
230,35,230,13
243,36,248,15
258,37,263,16
276,39,276,17
292,41,292,19
305,42,310,21
318,44,327,24
336,48,340,27
354,51,354,29
370,53,370,31
383,54,389,33
399,55,404,34
