457,36,452,15
474,32,466,12
488,28,482,7
503,25,498,4
517,23,515,1
521,26,536,11
532,37,548,22
543,48,559,34
554,60,570,45
564,72,580,57
568,78,590,77
581,99,566,83
566,111,556,92
553,120,542,101
539,129,529,110
524,138,516,118
510,144,502,124
494,150,489,129
481,155,471,136
466,162,457,142
454,169,441,152
445,178,427,166
436,189,416,180
426,204,409,191
420,217,401,207
417,230,396,224
416,243,394,243
395,260,416,257
399,278,419,270
407,293,426,282
419,306,435,291
433,316,447,299
450,325,458,305
468,331,471,310
484,334,486,313
490,338,506,323
501,349,517,335
511,362,527,347
518,371,538,362
523,386,543,378
526,402,546,393
548,413,526,413
546,433,526,424
542,449,524,436
535,461,515,452
524,477,508,462
513,489,498,473
500,500,487,482
486,509,476,490
468,515,463,494
448,515,453,494
432,513,438,492
415,508,424,488
400,503,409,483
385,497,395,478
371,491,381,472
358,487,364,466
343,483,348,462
330,480,331,458
315,478,315,456
297,477,302,456
284,476,284,454
268,477,268,455
256,478,248,458
241,482,233,462
225,486,218,466
211,490,202,470
191,494,191,472
178,495,172,474
159,496,159,474
143,496,143,474
127,496,127,474
111,495,111,473
95,494,95,472
79,494,79,472
61,491,65,470
44,486,51,466
27,478,40,461
14,464,31,451
5,449,24,439
23,430,2,428
26,420,6,407
32,418,26,397
42,417,47,396
60,419,60,397
75,420,75,398
91,421,91,399
107,420,107,398
126,417,120,396
140,414,136,393
157,409,149,389
171,405,166,384
186,401,182,380
204,397,196,377
219,392,211,372
236,380,220,365
247,370,232,354
259,359,243,344
272,347,254,335
282,332,262,325
287,314,265,312
264,299,285,296
261,284,282,279
255,277,270,261
247,269,255,249
233,262,241,242
219,258,223,237
203,256,207,235
189,254,189,232
171,252,175,231
157,251,157,229
141,249,141,227
123,246,128,225
106,243,115,223
93,240,98,219
76,234,86,215
59,221,77,209
50,206,69,196
44,191,64,182
63,171,41,171
63,158,42,153
66,144,46,136
70,128,50,120
75,117,59,102
88,102,66,93
93,93,80,76
105,83,92,66
119,72,103,57
128,67,120,47
139,62,137,40
153,60,153,38
167,61,171,40
180,65,189,45
192,71,204,53
206,79,218,61
216,88,232,73
229,101,241,83
243,111,252,91
260,118,264,97
274,122,279,101
295,123,290,102
315,113,299,98
326,102,310,87
337,91,321,76
346,81,333,64
358,71,345,54
370,65,361,45
385,59,376,39
400,54,392,34
414,50,409,29
431,44,422,24
446,39,438,19
