348,352,356,332
364,358,370,337
379,363,385,342
393,367,402,347
411,371,414,350
428,373,428,351
444,373,444,351
461,372,459,351
478,369,474,348
495,364,487,344
511,358,501,339
525,353,517,333
540,347,532,327
555,338,545,319
571,327,556,311
583,316,567,301
595,301,575,293
599,285,578,279
602,268,581,264
604,253,583,247
583,236,604,232
603,218,581,218
579,205,600,200
577,189,598,185
574,173,595,170
571,160,591,152
566,145,586,136
560,130,580,121
555,115,575,106
549,100,569,91
543,85,563,77
537,72,556,62
528,54,551,52
523,47,540,34
513,37,528,21
501,32,511,13
489,25,497,5
477,23,477,1
465,25,457,5
451,30,441,11
440,35,424,20
427,47,414,29
419,57,404,41
411,68,394,55
403,80,384,70
395,94,376,83
388,107,368,98
381,122,361,113
370,138,355,122
354,149,346,129
338,154,332,133
321,156,318,135
304,158,304,136
289,160,287,139
270,160,275,139
254,157,260,136
238,151,246,131
223,144,233,125
209,138,218,118
194,132,203,112
179,128,187,108
166,126,169,105
147,122,156,102
133,119,138,98
120,117,120,95
107,117,101,96
90,119,86,98
76,122,68,102
61,128,53,108
52,136,37,120
44,145,24,136
34,160,16,148
27,173,8,163
23,185,2,182
24,199,2,199
6,218,27,212
10,233,31,228
15,250,35,242
20,266,39,256
26,281,45,271
37,296,52,280
48,307,64,292
65,319,73,299
79,326,88,306
94,333,102,313
108,339,117,319
128,344,128,322
144,346,144,324
160,346,160,324
176,345,176,323
193,342,190,321
209,338,205,317
225,334,219,313
240,330,235,309
253,328,253,306
269,327,269,305
285,329,285,307
298,331,304,310
312,336,320,316
327,343,333,322
341,349,348,329
